HDI Rank,Country,Human Development Index (HDI),Life Expectancy at Birth,Expected Years of Education,Mean Years of Education,Gross National Income (GNI) per Capita,GNI per Capita Rank Minus HDI Rank
6,Ireland,0.916,80.9,18.6,12.2,39568,16
8,United States,0.915,79.1,16.5,12.9,52947,3
43,Portugal,0.83,80.9,16.3,8.2,25757,-2
94,Dominica,0.724,77.8,12.7,7.9,9994,4
120,Kyrgyzstan,0.655,70.6,12.5,10.6,3044,29
121,Iraq,0.654,69.4,10.1,6.4,14003,-44
122,Cabo Verde,0.646,73.3,13.5,4.7,6094,-1
136,Congo,0.591,62.3,11.1,6.1,6012,-14
137,Kiribati,0.59,66,12.3,7.8,2434,21
154,Madagascar,0.51,65.1,10.3,6,1328,24
179,Mali,0.419,58,8.4,2,1583,-8
180,Mozambique,0.416,55.1,9.3,3.2,1123,1
181,Sierra Leone,0.413,50.9,8.6,3.1,1780,-16
,Arab States,0.686,70.6,12,6.4,15722,
,East Asia and the Pacific,0.71,74,12.7,7.5,11449,
,Europe and Central Asia,0.748,72.3,13.6,10,12791,
,Latin America and the Caribbean,0.748,75,14,8.2,14242,
,South Asia,0.607,68.4,11.2,5.5,5605,
,Sub-Saharan Africa,0.518,58.5,9.6,5.2,3363,
,World,0.711,71.5,12.2,7.9,14301,
